Income,HousingExpense,TransportationExpense,FoodExpense,UtilitiesExpense,EntertainmentExpense,Savings,TotalExpense,NetBalance,HousingBudget,TransportationBudget,FoodBudget,UtilitiesBudget,EntertainmentBudget,SavingsBudget,BudgetAdherenceRatio,OverBudgetCount,FinancialStatus,FinancialLevel,SavingsRate,SavingsStatus
33925.0,7933.0,2382,5321,2410,2587,5023.0,25656.0,8269.0,30.9206423448706,9.284377923292798,20.739787963829123,9.393514187714375,10.08341128780792,19.57826629248519,0.7562564480471629,0,Surplus,Healthy,0.14806190125276344,Low Saving
30161.0,6992.0,2536,5694,3216,1060,5162.0,24660.0,5501.0,27.36380713838448,9.924859110832813,22.283969943644333,12.58609893550407,4.148403256105198,23.69286161552912,0.8176121481383242,0,Surplus,Healthy,0.17114817147972547,Low Saving
30161.0,7655.0,2249,5402,3555,1836,1777.0,22474.0,7687.0,34.061582272848625,10.007119337901576,24.036664590193112,11.489829961092749,8.169440242057489,7.906914656936904,0.7788464145094275,1,Surplus,Healthy,0.05891714465700739,Low Saving
28831.0,9429.0,1028,6110,3377,1979,5162.0,27085.0,1746.0,37.5911972252123,4.0983933341306855,22.7434724203955,13.46330183789818,7.889805844595942,12.59817406211378,0.9548675539214349,0,Surplus,Healthy,0.17904339079463077,Low Saving
33537.0,10555.0,1922,7197,3542,2007,4703.0,29926.0,3611.0,35.27033348927354,6.422508855176101,24.0493216600949,11.835861792421303,6.706542805587115,15.715431397447036,0.8923278766735248,0,Surplus,Healthy,0.14023317529892357,Low Saving
33884.0,9140.0,1422,5969,2894,2090,3226.0,24741.0,9143.0,38.083333333333336,5.925,21.78333333333333,12.058333333333334,8.708333333333334,13.441666666666666,0.7301676307401723,0,Surplus,Healthy,0.09520717742887498,Low Saving
38039.0,8203.0,1898,5969,2766,2004,3368.0,24208.0,13831.0,32.11824588880188,7.431480031323415,27.4079874706343,10.830070477682067,9.025058731401725,13.187157400156618,0.6363994847393464,0,Surplus,Healthy,0.08854070822051052,Low Saving
36767.0,10996.0,2490,5218,2631,1982,4300.0,27617.0,9150.0,30.91315275062832,9.01618568273165,18.894159394575805,9.526740775609223,7.176738965130173,20.143709574077935,0.7851260940795686,0,Surplus,Healthy,0.11695270215138576,Low Saving
36732.0,7374.0,2152,5152,2972,1815,6299.0,25764.0,10968.0,28.62133209129017,8.352740257723957,19.9968948920975,11.535475857786055,7.044713553795995,24.44884334730632,0.70140476968311,0,Surplus,Healthy,0.17148535337035828,Low Saving
30161.0,10061.0,2574,6818,2960,1796,4314.0,28523.0,1638.0,35.2732882235389,9.024296182028538,23.90351646040038,10.377590015075551,6.296672860498545,15.124636258458086,0.9456914558535856,0,Surplus,Healthy,0.14303239282517158,Low Saving
31456.0,7423.0,2170,6921,3103,1694,7156.0,28467.0,2989.0,26.07580707485861,7.622861558998138,22.7434724203955,11.489829961092749,5.950749991217901,20.143709574077935,0.9624723356124825,0,Surplus,Healthy,0.22749237029501526,Healthy Saving
30160.0,8862.0,1350,6851,2935,2393,3004.0,25395.0,4765.0,34.89663319551093,5.316007088009451,26.977751525890923,11.557393187635364,9.42311478637527,11.829100216578066,0.8420092838196285,0,Surplus,Healthy,0.09960212201591512,Low Saving
34364.0,7772.0,739,4684,2933,1676,2496.0,20300.0,14064.0,38.285714285714285,3.640394088669951,23.073891625615765,14.448275862068966,8.25615763546798,12.295566502463052,0.5907344895821209,0,Surplus,Healthy,0.07263415201955535,Low Saving
33660.0,7888.0,2074,5534,2611,2423,8852.0,29382.0,4278.0,26.846368524947245,7.05874344836975,18.834660676604724,8.886393029746104,8.246545504050099,30.12728881628208,0.8729055258467023,0,Surplus,Healthy,0.2629827688651218,Healthy Saving
28454.0,7245.0,1999,6822,3470,2009,3684.0,25229.0,3225.0,28.838116466982445,7.534928153484854,27.154400350276635,13.812044739879791,7.68221184475491,14.663853839111573,0.8894560156449296,0,Surplus,Healthy,0.12947213045617487,Low Saving
32024.0,10689.0,1511,6041,3038,1739,2378.0,25396.0,6628.0,42.08930540242558,5.949755867065679,23.787210584343992,11.962513781697904,6.847535044888958,9.363679319577884,0.7930302273295029,0,Surplus,Healthy,0.07425680739445416,Low Saving
30161.0,6534.0,1149,4926,2912,2309,1515.0,19345.0,10816.0,33.77616955285603,5.939519255621608,25.46394417162057,15.052985267510984,11.935900749547686,7.831481002843112,0.6413912005570108,0,Surplus,Healthy,0.050230430025529654,Low Saving
25730.0,12878.625,1632,6458,2626,1636,7150.0,32380.625,-6650.625,30.91315275062832,6.271857345989777,24.818415894854155,10.09184889128012,6.287229545367204,27.47780638714884,1.188809525050501,5,Deficit,Unhealthy,0.27788573649436454,Healthy Saving
36452.0,12241.0,1902,5285,2334,2319,4317.0,28398.0,8054.0,43.10514824987675,6.69765476442003,18.610465525741247,8.218888654130572,8.166068032960068,15.20177477287133,0.7790519038735871,0,Surplus,Healthy,0.11842971579062878,Low Saving
30275.0,9955.0,2332,7794,2990,2106,4492.0,29669.0,606.0,32.82012396149281,7.688250032968483,25.69563497296585,12.043386522484504,6.943162336806013,14.809442173282342,0.9799834847233693,4,Surplus,At Risk,0.14837324525185797,Low Saving
40243.0,3299.625,2094,7544,3277,1701,5162.0,23077.625,17165.375,14.33454674598242,9.295924709224897,33.49018911480067,14.547633845334278,7.551274083281541,20.78043150137619,0.5734568744874885,0,Surplus,Healthy,0.12827075516238848,Low Saving
21872.0,8086.0,2804,6604,2188,2264,7025.0,28971.0,-7099.0,24.74958564531239,10.103048209267133,23.79476832168336,7.88354831735966,7.68221184475491,25.311666786769475,1.3308942486184872,5,Deficit,Unhealthy,0.32118690563277247,Healthy Saving
27216.0,4376.0,1482,7361,3381,2273,4640.0,23513.0,3703.0,18.61098115935865,7.68669977673486,31.306085994981498,11.489829961092749,9.66699272742738,19.733764300599667,0.8771470595341089,1,Surplus,Healthy,0.17048794826572605,Low Saving
30163.0,6098.0,1999,6064,2990,2578,9688.0,29417.0,746.0,20.106169013155725,8.045105344719575,19.99406508622111,11.489829961092749,8.500115401101256,31.943024827722645,0.9745045811266823,3,Surplus,At Risk,0.3211882107217452,Healthy Saving
30161.0,3299.625,2023,6765,3062,2483,5267.0,22899.625,7261.375,8.076165462902168,9.48785292186474,31.7277928899728,11.489829961092749,11.64524903855173,24.70218553606604,0.7816878783828964,1,Surplus,Healthy,0.17462948841218792,Low Saving
30161.0,7726.0,2347,7477,3799,2245,7123.0,30717.0,-556.0,25.15219585245956,7.68669977673486,24.34156981476056,12.367744245857343,7.308656444314224,23.18911352020054,1.017966344635943,5,Deficit,Unhealthy,0.23616590961838135,Healthy Saving
